run_id,formula,method,seed,epoch,xrd_mean,xrd_err,xrd_max,xrd_min,reward_mean,reward_err,reward_max,reward_min,advantage_mean,advantage_std,ppo_objective,log_ratio_to_reference,clip_fraction,ratio_mean,ratio_max,approx_kl_old,grad_norm,score_p10,score_p50,score_p90,attempt,unique_space_groups,unique_wyckoff_sequences,unique_atom_sequences,unique_WA_combinations,replay_epoch
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,1,0.427506,0.011333,0.618955,0.315049,0.427506,0.011333,0.618955,0.315049,-0.0,1.0,0.008352,-0.003819,0.0,0.99656,1.074988,0.000379,148.270157,0.353331,0.42674,0.507401,32,31,27,8,27,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,2,0.424511,0.013204,0.630278,0.299857,0.424511,0.013204,0.630278,0.299857,0.0,1.0,0.008201,-0.001929,0.0,0.997711,1.045286,0.00031,339.810822,0.33348,0.424617,0.494143,32,27,26,9,26,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,3,0.41551,0.011095,0.565867,0.318793,0.41551,0.011095,0.565867,0.318793,1e-06,1.0,0.003521,0.003903,0.0,0.998271,1.039827,0.000162,201.75647,0.347751,0.4115,0.49711,32,29,24,6,24,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,4,0.41307,0.010884,0.562402,0.277906,0.41307,0.010884,0.562402,0.277906,0.0,1.0,0.002734,0.012147,0.0,1.002183,1.040098,0.000121,294.023621,0.34782,0.402782,0.499744,32,29,21,8,21,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,5,0.414609,0.007238,0.510666,0.34624,0.414609,0.007238,0.510666,0.34624,1e-06,1.0,0.001348,0.018551,0.0,1.003218,1.037892,7.7e-05,491.746094,0.363656,0.415126,0.470297,32,30,23,8,23,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,6,0.409636,0.023243,0.695136,0.0,0.409636,0.023243,0.695136,0.0,0.0,1.0,0.000801,0.03485,0.0,0.998994,1.047415,0.000203,461.11203,0.354751,0.419495,0.514239,32,26,24,9,24,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,7,0.433909,0.012558,0.586237,0.332118,0.433909,0.012558,0.586237,0.332118,0.0,1.0,-0.001256,0.001684,0.0,1.00208,1.02957,3.6e-05,540.170898,0.341325,0.418954,0.523423,32,28,25,8,25,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,8,0.420094,0.012689,0.692912,0.300845,0.420094,0.012689,0.692912,0.300845,0.0,1.0,0.002952,0.01612,0.0,0.99963,1.020439,4e-05,529.248657,0.353934,0.413775,0.501845,32,29,23,6,23,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,9,0.420972,0.013072,0.615319,0.288104,0.420972,0.013072,0.615319,0.288104,-0.0,1.0,0.003594,0.04045,0.0,0.996315,1.04303,0.000189,413.97525,0.330945,0.423563,0.515634,32,28,21,9,21,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,10,0.416471,0.010546,0.551697,0.308385,0.416471,0.010546,0.551697,0.308385,0.0,1.0,-2.4e-05,0.040585,0.0,1.003385,1.048363,0.000122,306.511627,0.359016,0.396939,0.495611,32,25,25,9,25,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,11,0.432295,0.014126,0.766809,0.312028,0.432295,0.014126,0.766809,0.312028,0.0,1.0,0.000647,0.018945,0.0,1.00025,1.03327,7.2e-05,410.097534,0.364894,0.419826,0.512956,32,30,23,8,23,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,12,0.418852,0.010682,0.609389,0.359147,0.418852,0.010682,0.609389,0.359147,0.0,1.0,-0.001842,0.000817,0.0,1.00044,1.016973,1.6e-05,458.580933,0.36357,0.401549,0.497565,32,26,21,8,21,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,13,0.418633,0.009705,0.534888,0.337915,0.418633,0.009705,0.534888,0.337915,-0.0,1.0,0.005035,-0.00737,0.0,0.997435,1.013392,4e-05,268.018616,0.349341,0.404083,0.500688,32,29,22,9,22,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,14,0.432023,0.01292,0.644109,0.337522,0.432023,0.01292,0.644109,0.337522,0.0,1.0,9.3e-05,-0.001999,0.0,1.001287,1.024625,1.9e-05,341.888062,0.353515,0.409925,0.53283,32,29,20,7,20,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,15,0.40691,0.008497,0.545239,0.300209,0.40691,0.008497,0.545239,0.300209,0.0,1.0,0.007154,-0.019325,0.0,0.999422,1.035548,8.6e-05,263.577484,0.359501,0.405359,0.464973,32,28,26,8,26,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,16,0.423294,0.01146,0.61288,0.314262,0.423294,0.01146,0.61288,0.314262,-0.0,1.0,0.00077,0.026361,0.0,1.000163,1.019978,7.3e-05,256.629578,0.352003,0.419627,0.49388,32,27,21,8,21,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,17,0.40279,0.01589,0.564468,0.0,0.40279,0.01589,0.564468,0.0,0.0,1.0,0.01112,-0.008012,0.0,0.999784,1.040244,0.000143,579.175781,0.344635,0.402354,0.460318,32,31,20,9,20,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,18,0.420906,0.013494,0.601546,0.254246,0.420906,0.013494,0.601546,0.254246,0.0,1.0,0.010032,-0.032424,0.0,0.998617,1.012371,8.1e-05,327.766998,0.350957,0.403538,0.522387,32,27,23,7,23,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,19,0.43565,0.012111,0.601375,0.350537,0.43565,0.012111,0.601375,0.350537,-0.0,1.0,0.005672,-0.017346,0.0,0.99769,1.035587,0.000141,316.190735,0.363873,0.423576,0.540215,32,28,22,7,22,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,20,0.406096,0.016735,0.61403,0.0,0.406096,0.016735,0.61403,0.0,0.0,1.0,0.004976,0.031988,0.0,0.997698,1.023039,8.7e-05,503.161987,0.353442,0.414866,0.462081,32,27,27,8,27,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,21,0.416735,0.008942,0.557731,0.304237,0.416735,0.008942,0.557731,0.304237,-0.0,1.0,0.006362,-0.003247,0.0,0.996786,1.017643,7.4e-05,486.709412,0.367835,0.422845,0.477656,32,27,18,7,18,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,22,0.432479,0.010187,0.553299,0.287153,0.432479,0.010187,0.553299,0.287153,-0.0,1.0,-0.000545,0.000955,0.0,0.998545,1.021031,2e-05,501.09436,0.372558,0.425438,0.515856,32,29,27,8,27,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,23,0.44046,0.016182,0.822492,0.267355,0.44046,0.016182,0.822492,0.267355,0.0,1.0,0.006507,1.6e-05,0.0,0.999696,1.025487,0.000115,455.848297,0.371517,0.427273,0.486427,32,26,23,9,23,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,24,0.429872,0.012287,0.723115,0.338364,0.429872,0.012287,0.723115,0.338364,0.0,1.0,0.002767,0.001886,0.0,1.000269,1.020706,2.2e-05,583.804565,0.367845,0.424881,0.491429,32,29,25,6,25,-1
case_02_Zr_peak_heads_seed9711,Zr,peak,9711,25,0.423546,0.009606,0.521321,0.340137,0.423546,0.009606,0.521321,0.340137,-0.0,1.0,0.004391,-0.023359,0.0,1.000444,1.015681,1.9e-05,249.471191,0.360936,0.407579,0.500632,32,30,23,7,23,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,1,0.346757,0.009656,0.450698,0.237883,0.346757,0.009656,0.450698,0.237883,0.0,1.0,0.010075,0.000207,0.0,1.000614,1.084765,0.000407,371.452789,0.29215,0.353178,0.424391,32,31,27,8,27,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,2,0.36106,0.009472,0.465178,0.231717,0.36106,0.009472,0.465178,0.231717,-0.0,1.0,0.007887,0.005889,0.0,1.00129,1.041442,0.000287,298.620392,0.290461,0.369397,0.429693,32,27,26,9,26,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,3,0.331583,0.01233,0.473249,0.144889,0.331583,0.01233,0.473249,0.144889,0.0,1.0,0.003649,-0.011369,0.0,0.997253,1.047156,0.000131,154.204895,0.262828,0.327053,0.415042,32,29,24,6,24,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,4,0.336937,0.012782,0.479439,0.200174,0.336937,0.012782,0.479439,0.200174,0.0,1.0,0.001331,0.011958,0.0,1.004188,1.031897,7.3e-05,411.197968,0.24034,0.33596,0.42858,32,29,21,8,21,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,5,0.329036,0.010759,0.447257,0.187459,0.329036,0.010759,0.447257,0.187459,-0.0,1.0,0.000949,0.031273,0.0,1.001612,1.033853,9.5e-05,316.220001,0.247434,0.32481,0.407047,32,30,23,8,23,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,6,0.332594,0.01842,0.47318,0.0,0.332594,0.01842,0.47318,0.0,-0.0,1.0,0.00538,0.016197,0.0,0.996347,1.033155,0.000135,440.21582,0.245631,0.351874,0.435401,32,26,24,9,24,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,7,0.354445,0.012792,0.573254,0.192906,0.354445,0.012792,0.573254,0.192906,-0.0,1.0,0.003091,0.022369,0.0,0.997212,1.044474,0.000164,366.908783,0.27137,0.35077,0.427394,32,28,25,8,25,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,8,0.342768,0.013191,0.495339,0.159217,0.342768,0.013191,0.495339,0.159217,0.0,1.0,0.007306,0.012602,0.0,0.998784,1.052282,0.00023,451.017151,0.264844,0.347542,0.445438,32,29,23,6,23,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,9,0.337547,0.010479,0.451332,0.25085,0.337547,0.010479,0.451332,0.25085,-0.0,1.0,0.005945,0.027767,0.0,0.999663,1.039913,0.000184,524.189453,0.262659,0.323524,0.427545,32,28,22,9,22,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,10,0.360835,0.010801,0.472361,0.225813,0.360835,0.010801,0.472361,0.225813,-0.0,1.0,0.00072,0.013347,0.0,1.000171,1.021719,6e-05,232.170624,0.279065,0.359545,0.446593,32,25,25,9,25,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,11,0.345291,0.011973,0.547079,0.236106,0.345291,0.011973,0.547079,0.236106,-0.0,1.0,0.001001,0.004241,0.0,1.000331,1.013896,1.7e-05,244.121124,0.268604,0.341876,0.397509,32,30,23,8,23,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,12,0.352901,0.008694,0.450002,0.232016,0.352901,0.008694,0.450002,0.232016,-0.0,1.0,0.002032,-0.001754,0.0,0.999913,1.024912,2e-05,354.724579,0.287806,0.354119,0.409559,32,26,21,8,21,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,13,0.339737,0.011177,0.524386,0.183559,0.339737,0.011177,0.524386,0.183559,0.0,1.0,0.000558,0.016755,0.0,0.997187,1.014317,4.5e-05,178.950089,0.261275,0.353279,0.395383,32,29,22,9,22,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,14,0.336439,0.009046,0.43126,0.232272,0.336439,0.009046,0.43126,0.232272,-0.0,1.0,0.001233,-0.000267,0.0,1.000529,1.0156,1.7e-05,136.650497,0.279213,0.333584,0.403361,32,29,20,7,20,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,15,0.338401,0.008823,0.451487,0.253432,0.338401,0.008823,0.451487,0.253432,0.0,1.0,0.006292,-0.032525,0.0,0.996942,1.021809,7.7e-05,243.37674,0.288771,0.323782,0.388958,32,28,26,8,26,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,16,0.319417,0.008191,0.413496,0.232851,0.319417,0.008191,0.413496,0.232851,-0.0,1.0,-0.003763,0.033646,0.0,1.000412,1.02154,3e-05,227.972916,0.267233,0.310231,0.381792,32,27,21,8,21,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,17,0.32092,0.014669,0.456467,0.0,0.32092,0.014669,0.456467,0.0,0.0,1.0,0.009004,-0.010437,0.0,0.996663,1.030996,0.000131,454.317871,0.252413,0.330766,0.402406,32,31,20,9,20,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,18,0.348429,0.014069,0.597327,0.235203,0.348429,0.014069,0.597327,0.235203,0.0,1.0,0.006504,-0.016772,0.0,0.998912,1.010724,6.4e-05,314.905823,0.265328,0.3346,0.447748,32,27,24,7,24,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,19,0.350821,0.013054,0.547592,0.198789,0.350821,0.013054,0.547592,0.198789,-0.0,1.0,0.004067,-0.007674,0.0,0.997428,1.038235,0.000171,164.531815,0.261229,0.356679,0.429044,32,28,22,7,22,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,20,0.332265,0.016156,0.528844,0.0,0.332265,0.016156,0.528844,0.0,0.0,1.0,0.003716,0.03615,0.0,0.999113,1.026217,0.000105,366.971741,0.245203,0.340989,0.422513,32,27,27,8,27,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,21,0.337445,0.010894,0.534503,0.218938,0.337445,0.010894,0.534503,0.218938,-0.0,1.0,0.003462,0.017484,0.0,0.996254,1.019789,9.6e-05,404.66153,0.276186,0.341436,0.41102,32,27,18,7,18,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,22,0.354393,0.010355,0.467233,0.223189,0.354393,0.010355,0.467233,0.223189,0.0,1.0,0.002611,-0.014302,0.0,0.997285,1.015517,2.8e-05,541.252014,0.280544,0.36535,0.418009,32,29,26,9,26,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,23,0.336953,0.010335,0.43572,0.167535,0.336953,0.010335,0.43572,0.167535,0.0,1.0,0.002439,0.025335,0.0,0.997111,1.020969,8.8e-05,288.829712,0.244892,0.347292,0.40237,32,26,23,9,23,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,24,0.343326,0.01143,0.473452,0.203071,0.343326,0.01143,0.473452,0.203071,0.0,1.0,0.00366,-0.008043,0.0,0.998578,1.056006,0.000105,203.89975,0.267508,0.342026,0.439812,32,29,25,6,25,-1
case_02_Zr_peak_penalized_heads_seed9711,Zr,peak_penalized,9711,25,0.337477,0.009395,0.444801,0.242207,0.337477,0.009395,0.444801,0.242207,-0.0,1.0,0.000681,0.017025,0.0,1.001668,1.028467,4.3e-05,294.195068,0.277857,0.331381,0.410141,32,30,23,7,23,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,1,0.412673,0.011133,0.632515,0.304519,0.412673,0.011133,0.632515,0.304519,0.0,1.0,0.010285,0.006322,0.0,1.006765,1.070326,0.000442,256.337982,0.346908,0.408109,0.486359,32,28,23,8,23,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,2,0.405091,0.010219,0.642577,0.31718,0.405091,0.010219,0.642577,0.31718,-0.0,1.0,0.014396,-0.005347,0.0,0.993999,1.096142,0.000763,481.456238,0.349782,0.393005,0.453604,32,28,26,8,26,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,3,0.418666,0.009777,0.544616,0.302807,0.418666,0.009777,0.544616,0.302807,-0.0,1.0,0.008871,0.016494,0.0,1.005928,1.09696,0.000469,358.488922,0.361108,0.423231,0.493424,32,26,21,7,21,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,4,0.422335,0.011312,0.57341,0.34047,0.422335,0.011312,0.57341,0.34047,-0.0,1.0,0.000793,0.027524,0.0,1.001534,1.044005,9.4e-05,199.702606,0.348658,0.40743,0.532826,32,30,23,8,23,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,5,0.395848,0.008875,0.521377,0.288277,0.395848,0.008875,0.521377,0.288277,0.0,1.0,0.006652,-0.014179,0.0,0.998967,1.04258,0.000104,392.12146,0.344483,0.394068,0.448657,32,26,22,6,22,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,6,0.400471,0.008567,0.521327,0.321682,0.400471,0.008567,0.521327,0.321682,0.0,1.0,0.009607,-0.024702,0.0,0.992317,1.007401,0.000389,546.242371,0.33876,0.390833,0.458247,32,29,21,8,21,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,7,0.424834,0.014569,0.654776,0.309012,0.424834,0.014569,0.654776,0.309012,-0.0,1.0,0.000789,0.017413,0.0,1.000499,1.028572,0.00011,306.68924,0.335842,0.408962,0.531156,32,27,21,7,21,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,8,0.399811,0.02097,0.610727,0.0,0.399811,0.02097,0.610727,0.0,0.0,1.0,0.001373,0.010783,0.0,0.999283,1.015213,1.6e-05,409.427887,0.340923,0.416572,0.492859,32,29,23,9,23,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,9,0.432343,0.016487,0.733708,0.220755,0.432343,0.016487,0.733708,0.220755,-0.0,1.0,0.001062,0.0071,0.0,1.000539,1.02298,4.2e-05,181.6819,0.357349,0.418698,0.492127,32,29,25,7,25,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,10,0.399979,0.017198,0.574988,0.0,0.399979,0.017198,0.574988,0.0,0.0,1.0,0.01462,-0.03416,0.0,0.995444,1.015466,0.000182,737.636719,0.347772,0.393239,0.532045,32,23,20,9,20,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,11,0.424989,0.01479,0.666305,0.266024,0.424989,0.01479,0.666305,0.266024,0.0,1.0,-0.001913,0.038159,0.0,1.003253,1.030784,4.2e-05,352.146698,0.34676,0.410745,0.530389,32,28,25,8,25,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,12,0.422719,0.009354,0.517959,0.296899,0.422719,0.009354,0.517959,0.296899,0.0,1.0,0.000754,-0.000542,0.0,0.999597,1.010187,8e-06,276.37146,0.364975,0.418727,0.483869,32,28,24,9,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,13,0.409458,0.00865,0.525899,0.341147,0.409458,0.00865,0.525899,0.341147,-0.0,1.0,0.005762,-0.015213,0.0,1.001708,1.038211,4.4e-05,440.523376,0.359554,0.399514,0.475725,32,26,27,8,27,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,14,0.41972,0.014844,0.77692,0.329042,0.41972,0.014844,0.77692,0.329042,0.0,1.0,0.000681,0.008167,0.0,0.999705,1.007681,1.4e-05,131.195297,0.33658,0.404159,0.48965,32,30,26,8,26,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,15,0.424222,0.01295,0.663327,0.302199,0.424222,0.01295,0.663327,0.302199,-0.0,1.0,0.002594,-0.020261,0.0,1.00161,1.028963,3.2e-05,279.114166,0.359954,0.409518,0.502224,32,28,24,8,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,16,0.416136,0.009588,0.507941,0.30112,0.416136,0.009588,0.507941,0.30112,-0.0,1.0,0.008634,-0.015648,0.0,0.998531,1.03311,0.000105,380.405243,0.345183,0.42035,0.486957,32,30,24,8,24,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,17,0.404699,0.016377,0.532542,0.0,0.404699,0.016377,0.532542,0.0,0.0,1.0,0.006476,-0.021187,0.0,1.000902,1.054013,0.000115,363.375,0.32823,0.40934,0.495567,32,28,22,11,22,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,18,0.420969,0.013417,0.676917,0.282751,0.420969,0.013417,0.676917,0.282751,0.0,1.0,0.001323,0.041651,0.0,0.995236,1.027098,0.000113,328.055786,0.353115,0.410422,0.491159,32,28,21,9,21,-1
case_02_Zr_peak_heads_seed9712,Zr,peak,9712,19,0.397405,0.015865,0.589697,0.0,0.397405,0.015865,0.589697,0.0,0.0,1.0,0.00044,0.040284,0.0,0.999609,1.032579,4.5e-05,305.810699,0.350025,0.405231,0.466523,32,26,22,6,22,-1
