run_id,formula,method,seed,epoch,raw_score_mean,raw_score_sem,raw_score_max,raw_score_min,reward_mean,reward_sem,reward_max,reward_min,advantage_mean,advantage_std,ppo_objective,log_ratio_to_reference,attempts,unique_space_groups,unique_wyckoff_sequences,unique_atom_sequences,unique_WA_combinations,negative_logp_g,negative_logp_w,negative_logp_a,negative_logp_xyz,negative_logp_l,zero_scores,cifs_written
case_02_Zr_cosine_seed9511,Zr,cosine,9511,1,0.191212,0.017787,0.261649,0.10848,-0.070436,0.017787,0.0,-0.153169,0.0,0.050309,0.16652,-1.4e-05,8,8,8,6,8,5.301786,1.45067,0.0,-2.740495,-6.959331,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,2,0.289712,0.040719,0.464893,0.166888,-0.175181,0.040719,0.0,-0.298006,-0.099508,0.115172,0.007091,0.001168,8,7,8,6,8,4.846512,0.834295,0.0,-6.081255,-7.402932,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,3,0.279518,0.037716,0.482581,0.152354,-0.203063,0.037716,0.0,-0.330227,-0.12102,0.106676,0.013494,0.034797,8,8,8,5,8,5.596186,1.804953,0.0,-2.686995,-5.614956,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,4,0.20474,0.031301,0.417373,0.106439,-0.277841,0.031301,-0.065208,-0.376142,-0.186008,0.088531,0.019517,-0.028041,8,8,7,4,7,5.549704,1.16714,0.0,-0.62754,-5.71523,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,5,0.276845,0.049883,0.497205,0.070558,-0.220361,0.049883,0.0,-0.426647,-0.122101,0.141091,0.088931,-0.003702,8,8,7,5,7,4.843121,1.234376,0.0,-2.945424,-7.602701,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,6,0.294852,0.041824,0.462602,0.144766,-0.202354,0.041824,-0.034604,-0.352439,-0.09889,0.118296,0.110188,-0.007097,8,7,8,5,8,4.60747,1.296875,0.0,-7.152876,-7.753831,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,7,0.220427,0.034428,0.433769,0.104556,-0.276778,0.034428,-0.063436,-0.392649,-0.164648,0.097378,0.065607,-0.047403,8,8,7,5,7,4.853171,0.714491,0.0,-2.166196,-7.229833,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,8,0.278363,0.032311,0.382405,0.102834,-0.218843,0.032311,-0.1148,-0.394372,-0.101377,0.091389,0.136018,0.0344,8,8,8,4,8,4.579318,0.783481,0.0,0.840465,-5.899632,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,9,0.25092,0.015926,0.306984,0.169128,-0.246285,0.015926,-0.190221,-0.328078,-0.122379,0.045045,0.117826,0.028681,8,8,8,6,8,4.861119,2.339499,0.0,0.949959,-5.610898,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,10,0.255908,0.042533,0.453278,0.115176,-0.241297,0.042533,-0.043927,-0.382029,-0.111521,0.120302,0.145235,-0.030043,8,8,7,6,7,4.644723,1.083857,0.0,-9.525299,-7.871771,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,11,0.301852,0.051308,0.515716,0.138253,-0.213863,0.051308,0.0,-0.377463,-0.079883,0.145121,0.175453,0.109892,8,8,7,6,7,4.909873,0.404587,0.0,-3.393764,-6.034064,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,12,0.208645,0.046074,0.510143,0.082327,-0.30707,0.046074,-0.005572,-0.433389,-0.164436,0.130318,0.086374,0.190167,8,8,7,5,7,5.354888,0.631082,0.0,-4.697824,-7.169567,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,13,0.23119,0.041372,0.446144,0.125376,-0.284526,0.041372,-0.069572,-0.39034,-0.134797,0.117017,0.135464,0.02649,8,7,5,4,5,5.581215,1.051255,0.0,-1.217592,-5.378115,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,14,0.214432,0.025687,0.371547,0.118713,-0.301284,0.025687,-0.144169,-0.397003,-0.143977,0.072653,0.121739,0.173828,8,8,7,5,7,5.35919,1.576942,0.0,-3.923949,-5.162897,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,15,0.260773,0.059326,0.538548,0.071409,-0.277775,0.059326,0.0,-0.46714,-0.114444,0.1678,0.176976,-0.003962,8,8,8,7,8,4.9527,1.080621,0.0,-7.848019,-7.035189,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,16,0.198764,0.027685,0.32717,0.111936,-0.339784,0.027685,-0.211378,-0.426612,-0.167631,0.078306,0.125365,0.002644,8,8,7,5,7,5.076145,0.712448,0.0,-1.806213,-7.087316,0,8
case_02_Zr_cosine_seed9511,Zr,cosine,9511,17,0.255207,0.047404,0.535046,0.065651,-0.283341,0.047404,-0.003502,-0.472897,-0.105629,0.134079,0.171922,0.176525,8,8,8,6,8,5.374141,2.127495,0.0,-3.355094,-7.350706,0,8
