run_id,formula,method,seed,epochs,training_candidates,cifs_written,zero_scores,raw_score_first20,raw_score_last20,raw_score_last_minus_first20,raw_score_slope,reward_first20,reward_last20,reward_last_minus_first20,reward_slope,objective_first20,objective_last20,objective_last_minus_first20,objective_slope,best_raw_epoch,best_raw_score,best_reward_epoch,best_reward_mean,mean_attempts,mean_unique_WA,elapsed_seconds,min_available_gib,min_swap_free_gib
case_02_Zr_cosine_seed9511,Zr,cosine,9511,100,800,799,1,0.2480333,0.2464174,-0.0016159000000000034,4.3091611161116315e-05,-0.2531429,-0.41213635,-0.15899344999999998,-0.001768440510051006,0.11995645,0.3263686,0.20641215000000002,0.0027073381698169818,48,0.365208,1,-0.070436,8,7.22,0.0,3.1704063415527344,7.999256134033203
case_02_Zr_peak_seed9511,Zr,peak,9511,100,800,799,1,0.4141729,0.4159416,0.001768700000000012,1.9970597059709667e-05,-0.1456984,-0.29913495,-0.15343655,-0.001531303402340234,0.20162739999999998,0.33882615,0.13719875,0.0019626554695469545,94,0.461903,1,-0.097771,8,7.23,0.0,3.3116912841796875,7.999256134033203
case_02_Zr_cosine_seed9512,Zr,cosine,9512,100,800,798,3,0.2511944,0.24166145,-0.009532949999999984,-6.602534653465238e-05,-0.322944,-0.4159149,-0.09297089999999997,-0.0010155164956495656,0.2788857,0.5400959,0.26121019999999995,0.003267372799279929,57,0.34688,1,-0.176891,8,7.24,0.0,3.3013877868652344,7.999011993408203
case_02_Zr_peak_seed9512,Zr,peak,9512,100,800,798,3,0.4206659,0.42479295,0.004127050000000021,4.126876687668859e-05,-0.2938885,-0.47398505,-0.18009655000000002,-0.0021842265646564657,0.2154006,0.4974303,0.2820297,0.0033999889828982915,13,0.497127,1,-0.054841,8,7.27,0.0,3.2999649047851562,7.999011993408203
case_02_Zr_cosine_seed9513,Zr,cosine,9513,100,800,794,6,0.24337305,0.25866595,0.01529289999999997,0.00016252562256225542,-0.32717295,-0.46040765,-0.13323469999999998,-0.0015401529252925298,0.08467245,0.27827635,0.1936039,0.0025287992259225922,82,0.372823,1,-0.138279,8,7.31,0.0,3.3168983459472656,7.999011993408203
case_02_Zr_peak_seed9513,Zr,peak,9513,100,800,795,5,0.42381815,0.41085784999999997,-0.012960300000000036,-7.018211821182051e-05,-0.31320455,-0.4796241,-0.16641954999999997,-0.0017429170837083734,0.40705075,0.6838781,0.27682735,0.003332101332133214,75,0.50226,1,-0.128446,8,7.33,0.0,3.296558380126953,7.999011993408203
case_03_NbS2_cosine_seed9521,NbS2,cosine,9521,100,800,793,7,0.56421325,0.58424305,0.020029799999999987,0.00018420787878787955,-0.21330975,-0.2182296,-0.004919850000000003,-0.00013761084908490845,6.345309,7.1046526,0.7593435999999993,0.009280762448244833,56,0.657649,56,-0.13436,8,3.89,0.0,3.2688522338867188,7.999011993408203
case_03_NbS2_peak_seed9521,NbS2,peak,9521,100,800,794,6,0.3599048,0.3625084,0.0026035999999999837,4.5673261326133206e-05,-0.1586937,-0.2605948,-0.10190110000000002,-0.001383464332433244,-0.1522629,-0.0641975,0.0880654,0.000978002916291629,45,0.414646,1,-0.070772,8,3.93,0.0,3.258014678955078,7.999011993408203
case_03_NbS2_cosine_seed9522,NbS2,cosine,9522,100,800,792,8,0.5570181,0.5634087,0.006390600000000024,0.00012645865586558848,-0.21969215,-0.26428135,-0.04458920000000002,-0.0004618622562256228,6.27060425,6.88955205,0.6189477999999999,0.007668335451545163,9,0.656015,9,-0.098169,8,3.94,0.0,3.2240829467773438,7.998767852783203
case_03_NbS2_peak_seed9522,NbS2,peak,9522,100,800,793,7,0.37139655,0.36065695,-0.010739600000000016,-0.00011341890789078908,-0.19597755,-0.23260715,-0.03662960000000001,-0.00042002875487548756,6.682609,7.2537199999999995,0.5711109999999993,0.007032754155415574,13,0.434059,1,-0.082016,8,3.93,0.0,3.2249526977539062,7.998767852783203
