formula,method,metric,seed_pairs,last20_minus_first20_mean,last20_minus_first20_std,bootstrap_95ci_low,bootstrap_95ci_high,positive_seed_pairs,negative_seed_pairs,zero_seed_pairs
Zr,cosine,raw_score_mean,3,0.001381349999999994,0.010354333641121783,-0.009532949999999984,0.01529289999999997,1,2,0
Zr,cosine,reward_mean,3,-0.12839968333333332,0.027169557924888826,-0.15899344999999998,-0.09297089999999997,0,3,0
Zr,cosine,ppo_objective,3,0.22040875,0.029320999966946305,0.19360389999999997,0.26121019999999995,3,0,0
Zr,peak,raw_score_mean,3,-0.0023548500000000008,0.007560737660550526,-0.012960300000000036,0.004127050000000021,2,1,0
Zr,peak,reward_mean,3,-0.16665088333333333,0.010885128580876865,-0.18009655000000002,-0.15343655,0,3,0
Zr,peak,ppo_objective,3,0.23201860000000002,0.06708138875971238,0.13719875,0.2820297,3,0,0
NbS2,cosine,raw_score_mean,3,0.009106500000000017,0.008042719491565004,0.0008991000000000415,0.020029799999999987,3,0,0
NbS2,cosine,reward_mean,3,-0.028546300000000007,0.01705964058448087,-0.04458920000000002,-0.004919850000000003,0,3,0
NbS2,cosine,ppo_objective,3,0.6012516999999997,0.13687904848785273,0.4254636999999999,0.7593435999999993,3,0,0
NbS2,peak,raw_score_mean,3,2.073333333331891e-05,0.007944115951374887,-0.010739600000000016,0.008198199999999989,2,1,0
NbS2,peak,reward_mean,3,-0.05448261666666668,0.03386915797079337,-0.10190110000000002,-0.02491715,0,3,0
NbS2,peak,ppo_objective,3,0.4652572833333331,0.27513822397401244,0.0880654,0.7365954499999999,3,0,0
Li2TeC2,cosine,raw_score_mean,3,-0.006439349999999992,0.008078132478797307,-0.017861899999999986,-0.0005596999999999963,0,3,0
Li2TeC2,cosine,reward_mean,3,-0.12534778333333335,0.038879702743212376,-0.17034075,-0.0754803,0,3,0
Li2TeC2,cosine,ppo_objective,3,0.4393222666666667,0.10195363990192088,0.36671355,0.58350525,3,0,0
Li2TeC2,peak,raw_score_mean,3,-0.0022164333333333417,0.028707367845796822,-0.042806200000000016,0.018801349999999994,2,1,0
Li2TeC2,peak,reward_mean,3,-0.14558249999999998,0.028504179845419125,-0.18501919999999994,-0.11863280000000004,0,3,0
Li2TeC2,peak,ppo_objective,3,0.6082664333333333,0.5014675869195409,0.24661714999999995,1.31740155,3,0,0
NaNiH3,cosine,raw_score_mean,3,-0.0007517333333333284,0.0007829045507311596,-0.001531699999999997,0.00031880000000000797,1,2,0
NaNiH3,cosine,reward_mean,3,-0.027827833333333333,0.013529404842436922,-0.04507455000000001,-0.012029499999999999,0,3,0
NaNiH3,cosine,ppo_objective,3,0.3630255833333333,0.16121411157383386,0.23545879999999997,0.590455,3,0,0
NaNiH3,peak,raw_score_mean,3,0.004870483333333342,0.007641092051678384,-0.002676249999999991,0.015341950000000049,2,1,0
NaNiH3,peak,reward_mean,3,-0.06448191666666665,0.03015694272624282,-0.10414070000000002,-0.031067699999999976,0,3,0
NaNiH3,peak,ppo_objective,3,0.12482428333333334,0.07031217698314346,0.06893465000000001,0.22399384999999997,3,0,0
