formula,checkpoint_epoch,metric,comparison,pairs,mean_difference,std_difference,positive_pairs,negative_pairs,zero_pairs,exact_sign_flip_p_two_sided
Zr,20,mean_peak_score,peak_minus_cosine,3,0.0008960766386174971,0.0010061586263468046,2,1,0,0.5
Zr,20,mean_peak_score,cosine_minus_base,3,0.0003257996804533388,0.0005688382129054773,2,1,0,0.75
Zr,20,mean_peak_score,peak_minus_base,3,0.001221876319070836,0.0014825534412843658,3,0,0,0.25
Zr,20,mean_cosine_score,peak_minus_cosine,3,0.0018740423074366703,0.0013453015137616976,3,0,0,0.25
Zr,20,mean_cosine_score,cosine_minus_base,3,-0.0027875499970450766,0.0018133896735807325,0,3,0,0.25
Zr,20,mean_cosine_score,peak_minus_base,3,-0.000913507689608406,0.0005429167540291229,0,3,0,0.25
Zr,20,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,20,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,valid_xrd,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,20,valid_xrd,cosine_minus_base,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
Zr,20,valid_xrd,peak_minus_base,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
Zr,20,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,20,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,20,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,20,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,20,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,50,mean_peak_score,peak_minus_cosine,3,-0.0015571334051128205,0.0006780099231422761,0,3,0,0.25
Zr,50,mean_peak_score,cosine_minus_base,3,0.0037995211550213384,0.002968242936212716,2,1,0,0.5
Zr,50,mean_peak_score,peak_minus_base,3,0.002242387749908518,0.0030632802608249413,2,1,0,0.5
Zr,50,mean_cosine_score,peak_minus_cosine,3,-3.387978166310054e-05,0.002454576524865655,1,2,0,1.0
Zr,50,mean_cosine_score,cosine_minus_base,3,0.0026600625412365,0.005624013508247406,2,1,0,0.75
Zr,50,mean_cosine_score,peak_minus_base,3,0.0026261827595733997,0.003202513668442168,2,1,0,0.5
Zr,50,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,50,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,50,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,50,valid_xrd,peak_minus_cosine,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
Zr,50,valid_xrd,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,50,valid_xrd,peak_minus_base,3,0.3333333333333333,0.4714045207910317,1,0,2,1.0
Zr,50,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Zr,50,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Zr,50,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
