formula,method,checkpoint_epoch,runs,samples,formula_match_sampler,valid_xrd,structure_matches,mean_peak_score,std_peak_score_across_runs,mean_cosine_score,std_cosine_score_across_runs,top10_peak_structure_matches,top10_cosine_structure_matches
Zr,base,0,3,300,300,295,5,0.4086272520150569,0.0023792679849700825,0.23476685980333886,0.007040109870550028,5,0
Zr,cosine,20,3,300,300,296,5,0.4089530516955103,0.0027990696947812685,0.23197930980629378,0.0072707561215424885,5,0
Zr,peak,20,3,300,300,296,5,0.40984912833412773,0.0038043474177119267,0.23385335211373046,0.006821914507880452,5,0
Zr,cosine,50,3,300,300,295,5,0.41242677317007825,0.001424261791030782,0.23742692234457535,0.005752987590377943,5,0
Zr,peak,50,3,300,300,296,5,0.41086963976496543,0.0009977012419077832,0.23739304256291224,0.005400773839528483,5,0
Zr,cosine,100,3,300,300,295,5,0.4111960053514122,0.0021109948587081538,0.23894159454065647,0.0062927415881546085,5,0
Zr,peak,100,3,300,300,295,5,0.41172589489749756,0.002632006476911302,0.23635919511436793,0.007299402782872229,5,0
NbS2,base,0,3,300,300,299,0,0.36247237579515457,0.007015917533838333,0.5686682107250914,0.003207258611063248,0,0
NbS2,cosine,20,3,300,300,298,0,0.3599768112091746,0.004847146928216654,0.5692865417521358,0.00590823455660106,0,0
NbS2,peak,20,3,300,300,299,0,0.35952966079935444,0.006745263386614068,0.5683675405400014,0.004433858893945406,0,0
NbS2,cosine,50,3,300,300,299,0,0.35968619494965426,0.0013717269683728463,0.5725731975941069,0.007043847052713825,0,0
NbS2,peak,50,3,300,300,300,0,0.36488938577754826,0.007491669729865115,0.564179878317125,0.007194317909346216,0,0
NbS2,cosine,100,3,300,300,298,0,0.36047885782850175,0.0036808334143287502,0.5703369690934876,0.004304238378389119,0,0
NbS2,peak,100,3,300,300,300,0,0.3621118373089106,0.00954704955803689,0.5642181026830498,0.004774340471212326,0,0
Li2TeC2,base,0,3,300,300,280,0,0.31239193401480914,0.020114004714595513,0.22090258145655398,0.011194416734836468,0,0
Li2TeC2,cosine,20,3,300,300,281,0,0.31848269774917864,0.014916569788514585,0.22608907571289288,0.0150018531929598,0,0
Li2TeC2,peak,20,3,300,300,280,0,0.317764654647317,0.015697270569227494,0.22784108465771852,0.00593296604776803,0,0
Li2TeC2,cosine,50,3,300,300,279,0,0.3221295635224264,0.00448371867295379,0.228834538391467,0.01006659341413662,0,0
Li2TeC2,peak,50,3,300,300,282,0,0.3150246326888219,0.007515278386603655,0.23095643059130636,0.010079026158452289,0,0
Li2TeC2,cosine,100,3,300,300,281,0,0.3204294445318195,0.014135388335208266,0.2318019557211686,0.014971001866415689,0,0
Li2TeC2,peak,100,3,300,300,278,0,0.311196981724292,0.011804648938837606,0.22503095756805364,0.012398393466056881,0,0
NaNiH3,base,0,3,300,300,297,36,0.4369260001671231,0.004793241256107811,0.21220631501633197,0.0030696056468480126,1,0
NaNiH3,cosine,20,3,300,300,293,35,0.43023322672283226,0.0073565902599674465,0.2097268288761058,0.0015353162014114271,1,0
NaNiH3,peak,20,3,300,300,294,36,0.4337494015914704,0.004882219082544903,0.20972711760792206,0.0015187783400568324,1,0
NaNiH3,cosine,50,3,300,300,293,35,0.4293601233654399,0.007143936829101601,0.20973469366530123,0.0008729177917702407,1,0
NaNiH3,peak,50,3,300,300,294,37,0.4344425326786669,0.002369997825298108,0.20988517444059454,0.003121961371412726,2,0
NaNiH3,cosine,100,3,300,300,296,35,0.4329408539422768,0.008539780059935883,0.21228075878593863,0.0023262818856342104,1,0
NaNiH3,peak,100,3,300,300,298,34,0.4395483254943009,0.005134509516197212,0.21290838867485404,0.0016120117439266891,1,0
ALL,base,0,12,1200,1200,1171,41,0.3801043904980359,0.048529748666062314,0.3091359917503291,0.15021886074656846,6,0
ALL,cosine,20,12,1200,1200,1168,40,0.37941144684417394,0.04431007321925234,0.3092704390368571,0.15060340781541362,6,0
ALL,peak,20,12,1200,1200,1169,41,0.3802232113430674,0.04583190576065392,0.3099472737298431,0.1495497656118329,6,0
ALL,cosine,50,12,1200,1200,1166,40,0.3809006637518997,0.04278247431165326,0.3121423379988626,0.1508467367854205,6,0
ALL,peak,50,12,1200,1200,1172,42,0.3813065477275006,0.04604194174136589,0.31060363147798453,0.14691906570178845,7,0
ALL,cosine,100,12,1200,1200,1170,40,0.38126129041350254,0.04469348191637743,0.31334031953531283,0.1489392957770975,6,0
ALL,peak,100,12,1200,1200,1171,39,0.38114575985625027,0.049661133293147405,0.30962916101008137,0.14741792233441808,6,0
